step,block_size,lr,train_loss,train_ema,gn
241,128,1.613333e-03,3.4179,3.5087,0.482
242,128,1.620000e-03,3.3954,3.5030,0.478
243,128,1.626667e-03,3.3775,3.4968,0.462
244,128,1.633333e-03,3.3951,3.4917,0.481
245,128,1.640000e-03,3.3787,3.4860,0.469
246,128,1.646667e-03,3.3406,3.4788,0.472
247,128,1.653333e-03,3.2004,3.4648,0.453
248,128,1.660000e-03,3.1363,3.4484,0.411
249,128,1.666667e-03,3.1269,3.4323,0.475
250,128,1.673333e-03,3.1216,3.4168,0.506
251,128,1.680000e-03,3.1150,3.4017,0.493
252,128,1.686667e-03,3.1143,3.3873,0.744
253,128,1.693333e-03,3.1179,3.3739,0.736
254,128,1.700000e-03,3.4388,3.3771,1.974
255,128,1.706667e-03,3.1070,3.3636,0.813
256,128,1.713333e-03,3.0185,3.3464,0.584
257,128,1.720000e-03,2.9872,3.3284,0.505
258,128,1.726667e-03,2.9608,3.3100,0.471
259,128,1.733333e-03,2.9629,3.2927,0.373
260,128,1.740000e-03,2.9799,3.2770,0.446
261,128,1.746667e-03,2.9769,3.2620,0.455
262,128,1.753333e-03,2.9708,3.2475,0.462
263,128,1.760000e-03,2.8874,3.2295,0.432
264,128,1.766667e-03,2.8756,3.2118,0.463
265,128,1.773333e-03,2.8632,3.1943,0.457
266,128,1.780000e-03,2.9130,3.1803,1.529
267,128,1.786667e-03,2.8756,3.1650,1.433
268,128,1.793333e-03,2.8315,3.1484,1.201
269,128,1.800000e-03,2.8135,3.1316,1.212
270,128,1.806667e-03,2.7767,3.1139,0.393
271,128,1.813333e-03,2.7461,3.0955,0.264
272,128,1.820000e-03,2.7748,3.0794,0.388
273,128,1.826667e-03,2.7907,3.0650,0.397
274,128,1.833333e-03,2.7733,3.0504,0.391
275,128,1.840000e-03,2.7656,3.0362,0.384
276,128,1.846667e-03,2.7188,3.0203,0.689
277,128,1.853333e-03,2.6951,3.0041,0.713
278,128,1.860000e-03,2.6935,2.9885,0.587
279,128,1.866667e-03,2.6736,2.9728,0.581
280,128,1.873333e-03,2.7126,2.9598,0.334
281,128,1.880000e-03,2.6968,2.9466,0.337
282,128,1.886667e-03,2.6890,2.9337,0.355
283,128,1.893333e-03,2.6937,2.9217,0.363
284,128,1.900000e-03,2.7360,2.9124,0.476
285,128,1.906667e-03,2.7090,2.9023,1.061
286,128,1.913333e-03,2.6979,2.8921,1.058
287,128,1.920000e-03,2.6242,2.8787,0.944
288,128,1.926667e-03,3.1204,2.8908,3.193
289,128,1.933333e-03,3.1043,2.9014,3.133
