step,block_size,lr,train_loss,train_ema,gn
208,32,1.393333e-03,3.5945,3.6938,0.582
209,32,1.400000e-03,3.6341,3.6909,0.610
210,32,1.406667e-03,3.5590,3.6843,0.557
211,32,1.413333e-03,3.5787,3.6790,0.581
212,32,1.420000e-03,3.6094,3.6755,0.592
213,32,1.426667e-03,3.5798,3.6707,0.568
214,32,1.433333e-03,3.5630,3.6653,0.563
215,32,1.440000e-03,3.5635,3.6602,0.572
216,32,1.446667e-03,3.5483,3.6546,0.556
217,32,1.453333e-03,3.5406,3.6489,0.552
218,32,1.460000e-03,3.5409,3.6435,0.564
219,32,1.466667e-03,3.5181,3.6373,0.543
220,32,1.473333e-03,3.5723,3.6340,0.591
221,32,1.480000e-03,3.5412,3.6294,0.566
222,32,1.486667e-03,3.5031,3.6231,0.532
223,32,1.493333e-03,3.5588,3.6199,0.568
224,32,1.500000e-03,3.5242,3.6151,0.539
225,32,1.506667e-03,3.5464,3.6116,0.556
226,32,1.513333e-03,3.5183,3.6070,0.531
227,32,1.520000e-03,3.5181,3.6025,0.532
228,32,1.526667e-03,3.5014,3.5975,0.529
229,32,1.533333e-03,3.4926,3.5922,0.522
230,32,1.540000e-03,3.4987,3.5876,0.515
231,32,1.546667e-03,3.5135,3.5838,0.525
232,32,1.553333e-03,3.4773,3.5785,0.505
233,32,1.560000e-03,3.4708,3.5731,0.502
234,32,1.566667e-03,3.4579,3.5674,0.496
235,32,1.573333e-03,3.4656,3.5623,0.505
236,32,1.580000e-03,3.4519,3.5568,0.491
237,32,1.586667e-03,3.4606,3.5520,0.505
238,32,1.593333e-03,3.4501,3.5469,0.483
239,32,1.600000e-03,3.4413,3.5416,0.482
240,32,1.606667e-03,3.4411,3.5366,0.482
241,32,1.613333e-03,3.4446,3.5320,0.476
242,32,1.620000e-03,3.4225,3.5265,0.465
243,32,1.626667e-03,3.4095,3.5206,0.454
244,32,1.633333e-03,3.4155,3.5154,0.466
245,32,1.640000e-03,3.4190,3.5106,0.469
246,32,1.646667e-03,3.4273,3.5064,0.472
247,32,1.653333e-03,3.3564,3.4989,0.482
248,32,1.660000e-03,3.2748,3.4877,0.442
249,32,1.666667e-03,3.2381,3.4752,0.470
250,32,1.673333e-03,3.2144,3.4622,0.440
251,32,1.680000e-03,3.1989,3.4490,0.445
252,32,1.686667e-03,3.3004,3.4416,1.215
253,32,1.693333e-03,3.2978,3.4344,1.105
254,32,1.700000e-03,3.3622,3.4308,1.343
255,32,1.706667e-03,3.0980,3.4141,0.518
256,32,1.713333e-03,3.0862,3.3977,0.513
257,32,1.720000e-03,3.0420,3.3800,0.456
258,32,1.726667e-03,3.0335,3.3626,0.440
259,32,1.733333e-03,3.0179,3.3454,0.371
260,32,1.740000e-03,3.0219,3.3292,0.383
261,32,1.746667e-03,2.9878,3.3122,0.367
262,32,1.753333e-03,3.0530,3.2992,1.163
263,32,1.760000e-03,3.0056,3.2845,1.083
264,32,1.766667e-03,2.9403,3.2673,0.395
265,32,1.773333e-03,2.9126,3.2496,0.416
266,32,1.780000e-03,2.9669,3.2354,0.416
267,32,1.786667e-03,2.9347,3.2204,0.446
268,32,1.793333e-03,2.9066,3.2047,0.461
269,32,1.800000e-03,2.8796,3.1885,0.470
270,32,1.806667e-03,2.8361,3.1708,0.608
271,32,1.813333e-03,2.8460,3.1546,0.576
272,32,1.820000e-03,2.7365,3.1337,0.466
273,32,1.826667e-03,2.7824,3.1161,0.439
274,32,1.833333e-03,2.7863,3.0996,0.396
275,32,1.840000e-03,2.8457,3.0869,0.438
276,32,1.846667e-03,2.8335,3.0743,0.446
277,32,1.853333e-03,2.7222,3.0567,0.438
278,32,1.860000e-03,2.7149,3.0396,0.345
279,32,1.866667e-03,2.7391,3.0246,0.365
280,32,1.873333e-03,2.6725,3.0069,0.266
281,32,1.880000e-03,2.7047,2.9918,0.320
282,32,1.886667e-03,2.7807,2.9813,0.409
283,32,1.893333e-03,2.7150,2.9680,0.351
284,32,1.900000e-03,2.6168,2.9504,0.224
285,32,1.906667e-03,2.6476,2.9353,0.354
286,32,1.913333e-03,2.6222,2.9196,0.301
287,32,1.920000e-03,2.6071,2.9040,0.204
288,32,1.926667e-03,2.6039,2.8890,0.491
289,32,1.933333e-03,2.6426,2.8767,0.454
290,32,1.940000e-03,2.6047,2.8631,0.427
291,32,1.946667e-03,2.6002,2.8499,0.336
292,32,1.953333e-03,2.6147,2.8382,0.368
293,32,1.960000e-03,2.5748,2.8250,0.358
294,32,1.966667e-03,2.5484,2.8112,0.212
295,32,1.973333e-03,2.5208,2.7966,0.205
296,32,1.980000e-03,2.5225,2.7829,0.200
297,32,1.986667e-03,2.5009,2.7688,0.222
298,32,1.993333e-03,2.6682,2.7638,1.158
299,32,2.000000e-03,2.5426,2.7527,0.241
300,32,2.000000e-03,2.4588,2.7380,0.274
301,32,2.000000e-03,2.5777,2.7300,1.189
302,32,2.000000e-03,2.5423,2.7206,1.083
303,32,1.999999e-03,2.4835,2.7088,0.838
304,32,1.999999e-03,2.5022,2.6985,0.793
305,32,1.999998e-03,2.3642,2.6817,0.182
306,32,1.999997e-03,2.4412,2.6697,0.192
307,32,1.999996e-03,2.4400,2.6582,0.202
308,32,1.999995e-03,2.3576,2.6432,0.230
309,32,1.999994e-03,2.5595,2.6390,1.261
310,32,1.999992e-03,2.4126,2.6277,0.218
311,32,1.999990e-03,2.4745,2.6200,0.483
312,32,1.999989e-03,2.4629,2.6122,0.520
313,32,1.999987e-03,2.4884,2.6060,0.586
314,32,1.999985e-03,2.3975,2.5956,0.421
315,32,1.999982e-03,2.4337,2.5875,0.441
316,32,1.999980e-03,2.4697,2.5816,1.087
317,32,1.999977e-03,2.5121,2.5781,1.067
318,32,1.999974e-03,2.3088,2.5646,0.175
319,32,1.999971e-03,2.3579,2.5543,0.145
320,32,1.999968e-03,2.3416,2.5437,0.156
321,32,1.999965e-03,2.2977,2.5314,0.133
322,32,1.999962e-03,2.2780,2.5187,0.147
323,32,1.999958e-03,2.3176,2.5086,0.136
324,32,1.999954e-03,2.2966,2.4980,0.138
325,32,1.999951e-03,2.2913,2.4877,0.168
326,32,1.999947e-03,2.3638,2.4815,0.789
327,32,1.999942e-03,2.3315,2.4740,0.486
328,32,1.999938e-03,2.3983,2.4702,0.416
329,32,1.999934e-03,2.4173,2.4676,0.461
330,32,1.999929e-03,2.3650,2.4625,0.465
331,32,1.999924e-03,2.3739,2.4580,0.443
332,32,1.999919e-03,2.2806,2.4492,0.180
333,32,1.999914e-03,2.2935,2.4414,0.197
334,32,1.999909e-03,2.3053,2.4346,0.181
335,32,1.999903e-03,2.2231,2.4240,0.227
336,32,1.999898e-03,2.2724,2.4164,0.218
337,32,1.999892e-03,2.2212,2.4067,0.147
338,32,1.999886e-03,2.1785,2.3952,0.195
339,32,1.999880e-03,2.2484,2.3879,0.204
340,32,1.999873e-03,2.2973,2.3834,0.409
341,32,1.999867e-03,2.2697,2.3777,0.377
342,32,1.999861e-03,2.2598,2.3718,0.357
343,32,1.999854e-03,2.2235,2.3644,0.110
344,32,1.999847e-03,2.2115,2.3567,0.144
345,32,1.999840e-03,2.1465,2.3462,0.160
346,32,1.999833e-03,2.1538,2.3366,0.197
347,32,1.999825e-03,2.1750,2.3285,0.175
348,32,1.999818e-03,2.1788,2.3210,0.141
349,32,1.999810e-03,2.1517,2.3126,0.188
350,32,1.999802e-03,2.1545,2.3047,0.160
351,32,1.999794e-03,2.1528,2.2971,0.145
352,32,1.999786e-03,2.1260,2.2885,0.154
353,32,1.999778e-03,2.1821,2.2832,0.150
354,32,1.999769e-03,2.1087,2.2745,0.153
355,32,1.999761e-03,2.1175,2.2666,0.186
356,32,1.999752e-03,2.1286,2.2597,0.122
357,32,1.999743e-03,2.1123,2.2524,0.185
358,32,1.999734e-03,2.1212,2.2458,0.137
359,32,1.999725e-03,2.2122,2.2441,1.065
360,32,1.999715e-03,2.0856,2.2362,0.213
361,32,1.999706e-03,2.1107,2.2299,0.202
362,32,1.999696e-03,2.1170,2.2243,0.218
363,32,1.999686e-03,2.0987,2.2180,0.249
364,32,1.999676e-03,2.0987,2.2120,0.245
365,32,1.999666e-03,2.0968,2.2063,0.259
366,32,1.999656e-03,2.1014,2.2010,0.213
367,32,1.999645e-03,2.1540,2.1987,0.730
368,32,1.999634e-03,2.0897,2.1932,0.202
369,32,1.999624e-03,2.1144,2.1893,0.149
370,32,1.999613e-03,2.0551,2.1826,0.191
371,32,1.999601e-03,2.1154,2.1792,0.154
372,32,1.999590e-03,2.0846,2.1745,0.188
373,32,1.999579e-03,2.0341,2.1675,0.221
374,32,1.999567e-03,2.0602,2.1621,0.200
375,32,1.999555e-03,2.0641,2.1572,0.141
376,32,1.999543e-03,2.0787,2.1533,0.128
377,32,1.999531e-03,2.1303,2.1521,0.789
378,32,1.999519e-03,2.0324,2.1461,0.328
379,32,1.999507e-03,2.0378,2.1407,0.265
380,32,1.999494e-03,2.0002,2.1337,0.231
381,32,1.999481e-03,2.0040,2.1272,0.227
382,32,1.999468e-03,2.0221,2.1220,0.198
383,32,1.999455e-03,2.0533,2.1185,0.212
384,32,1.999442e-03,2.0517,2.1152,0.220
385,32,1.999429e-03,1.9960,2.1092,0.128
386,32,1.999415e-03,2.0126,2.1044,0.111
387,32,1.999402e-03,1.9911,2.0987,0.122
388,32,1.999388e-03,1.9814,2.0929,0.123
389,32,1.999374e-03,1.9565,2.0860,0.136
390,32,1.999360e-03,1.9619,2.0798,0.082
391,32,1.999345e-03,2.0024,2.0760,0.542
392,32,1.999331e-03,1.9981,2.0721,0.101
393,32,1.999316e-03,1.9240,2.0647,0.150
394,32,1.999301e-03,1.9215,2.0575,0.175
395,32,1.999286e-03,1.9393,2.0516,0.156
396,32,1.999271e-03,1.9833,2.0482,0.156
397,32,1.999256e-03,2.0093,2.0462,0.232
398,32,1.999241e-03,2.0354,2.0457,0.175
399,32,1.999225e-03,1.9617,2.0415,0.108
400,32,1.999209e-03,1.9647,2.0377,0.137
401,32,1.999194e-03,1.9204,2.0318,0.141
402,32,1.999177e-03,1.9389,2.0272,0.080
403,32,1.999161e-03,1.9462,2.0231,0.306
404,32,1.999145e-03,1.9923,2.0216,0.302
405,32,1.999128e-03,1.9286,2.0169,0.102
406,32,1.999112e-03,1.9180,2.0120,0.141
407,32,1.999095e-03,1.8871,2.0057,0.201
408,32,1.999078e-03,1.9087,2.0009,0.183
409,32,1.999061e-03,1.9381,1.9977,0.129
410,32,1.999043e-03,1.9535,1.9955,0.167
411,32,1.999026e-03,1.9501,1.9933,0.146
412,32,1.999008e-03,1.8917,1.9882,0.190
413,32,1.998991e-03,1.8885,1.9832,0.208
414,32,1.998973e-03,1.8818,1.9781,0.205
415,32,1.998954e-03,1.8887,1.9737,0.196
416,32,1.998936e-03,1.8809,1.9690,0.225
417,32,1.998918e-03,1.8774,1.9644,0.207
418,32,1.998899e-03,1.8774,1.9601,0.238
419,32,1.998881e-03,1.8855,1.9564,0.209
420,32,1.998862e-03,1.8484,1.9510,0.246
421,32,1.998843e-03,1.8913,1.9480,0.200
422,32,1.998823e-03,1.9421,1.9477,0.124
423,32,1.998804e-03,1.8755,1.9441,0.176
424,32,1.998784e-03,1.8823,1.9410,0.240
425,32,1.998765e-03,1.8883,1.9384,0.223
426,32,1.998745e-03,1.8805,1.9355,0.232
427,32,1.998725e-03,1.8965,1.9335,0.228
428,32,1.998705e-03,1.8991,1.9318,0.173
429,32,1.998684e-03,1.8789,1.9291,0.218
430,32,1.998664e-03,1.8670,1.9260,0.179
431,32,1.998643e-03,1.8577,1.9226,0.200
432,32,1.998623e-03,1.8244,1.9177,0.243
433,32,1.998602e-03,1.8561,1.9146,0.207
434,32,1.998581e-03,1.8275,1.9103,0.257
435,32,1.998559e-03,1.8510,1.9073,0.219
436,32,1.998538e-03,1.8458,1.9042,0.216
437,32,1.998516e-03,1.8491,1.9015,0.148
438,32,1.998495e-03,1.8020,1.8965,0.147
439,32,1.998473e-03,1.7963,1.8915,0.184
440,32,1.998451e-03,1.8653,1.8902,0.150
441,32,1.998428e-03,1.8838,1.8899,0.183
442,32,1.998406e-03,1.8529,1.8880,0.190
443,32,1.998384e-03,1.7711,1.8822,0.182
444,32,1.998361e-03,1.8138,1.8787,0.153
445,32,1.998338e-03,1.8147,1.8755,0.132
446,32,1.998315e-03,1.8838,1.8760,0.173
447,32,1.998292e-03,1.8643,1.8754,0.227
448,32,1.998269e-03,1.8119,1.8722,0.297
449,32,1.998245e-03,1.8894,1.8731,0.177
450,32,1.998221e-03,1.8377,1.8713,0.157
451,32,1.998198e-03,1.8557,1.8705,0.233
452,32,1.998174e-03,1.8383,1.8689,0.281
453,32,1.998150e-03,1.8208,1.8665,0.119
454,32,1.998125e-03,1.8139,1.8639,0.134
455,32,1.998101e-03,1.7547,1.8584,0.150
456,32,1.998076e-03,1.8363,1.8573,0.217
457,32,1.998052e-03,1.7997,1.8544,0.253
458,32,1.998027e-03,1.7649,1.8499,0.120
459,32,1.998002e-03,1.8373,1.8493,0.087
460,32,1.997977e-03,1.7586,1.8448,0.104
461,32,1.997951e-03,1.7976,1.8424,0.130
462,32,1.997926e-03,1.7579,1.8382,0.192
463,32,1.997900e-03,1.7946,1.8360,0.132
464,32,1.997874e-03,1.8036,1.8344,0.093
465,32,1.997848e-03,1.7532,1.8303,0.140
466,32,1.997822e-03,1.7366,1.8257,0.099
467,32,1.997796e-03,1.7725,1.8230,0.107
468,32,1.997769e-03,1.7735,1.8205,0.072
469,32,1.997743e-03,1.7776,1.8184,0.159
470,32,1.997716e-03,1.7297,1.8139,0.198
471,32,1.997689e-03,1.8381,1.8152,0.083
472,32,1.997662e-03,1.8140,1.8151,0.075
473,32,1.997634e-03,1.8185,1.8153,0.114
474,32,1.997607e-03,1.7107,1.8100,0.150
475,32,1.997580e-03,1.7183,1.8054,0.213
476,32,1.997552e-03,1.7166,1.8010,0.167
477,32,1.997524e-03,1.7651,1.7992,0.155
478,32,1.997496e-03,1.7557,1.7970,0.153
479,32,1.997468e-03,1.7641,1.7954,0.122
480,32,1.997439e-03,1.7680,1.7940,0.120
481,32,1.997411e-03,1.7851,1.7936,0.090
482,32,1.997382e-03,1.7646,1.7921,0.161
483,32,1.997353e-03,1.7062,1.7878,0.271
484,32,1.997324e-03,1.7493,1.7859,0.189
485,32,1.997295e-03,1.7280,1.7830,0.175
486,32,1.997266e-03,1.6577,1.7767,0.241
487,32,1.997236e-03,1.7570,1.7758,0.113
488,32,1.997207e-03,1.7625,1.7751,0.158
489,32,1.997177e-03,1.7221,1.7724,0.142
490,32,1.997147e-03,1.6967,1.7687,0.193
491,32,1.997117e-03,1.7597,1.7682,0.106
492,32,1.997087e-03,1.7050,1.7651,0.176
493,32,1.997056e-03,1.7534,1.7645,0.103
494,32,1.997026e-03,1.7344,1.7630,0.188
495,32,1.996995e-03,1.7378,1.7617,0.150
496,32,1.996964e-03,1.6779,1.7575,0.178
497,32,1.996933e-03,1.7130,1.7553,0.157
498,32,1.996902e-03,1.7401,1.7545,0.129
499,32,1.996870e-03,1.6768,1.7506,0.233
500,32,1.996839e-03,1.6750,1.7469,0.165
501,32,1.996807e-03,1.7177,1.7454,0.210
502,32,1.996775e-03,1.6846,1.7424,0.209
503,32,1.996743e-03,1.7454,1.7425,0.146
504,32,1.996711e-03,1.6727,1.7390,0.156
505,32,1.996679e-03,1.6764,1.7359,0.139
506,32,1.996647e-03,1.7553,1.7369,0.105
507,32,1.996614e-03,1.6800,1.7340,0.130
508,32,1.996581e-03,1.6860,1.7316,0.186
509,32,1.996548e-03,1.6963,1.7299,0.117
510,32,1.996515e-03,1.7091,1.7288,0.123
511,32,1.996482e-03,1.6640,1.7256,0.185
512,32,1.996448e-03,1.6810,1.7233,0.164
513,32,1.996415e-03,1.6347,1.7189,0.204
514,32,1.996381e-03,1.6769,1.7168,0.184
515,32,1.996347e-03,1.6921,1.7156,0.200
516,32,1.996313e-03,1.6314,1.7114,0.224
517,32,1.996279e-03,1.6622,1.7089,0.153
518,32,1.996245e-03,1.6668,1.7068,0.152
519,32,1.996210e-03,1.6942,1.7062,0.151
520,32,1.996176e-03,1.5935,1.7005,0.157
521,32,1.996141e-03,1.5681,1.6939,0.165
522,32,1.996106e-03,1.6597,1.6922,0.093
523,32,1.996071e-03,1.7055,1.6929,0.079
524,32,1.996035e-03,1.6093,1.6887,0.123
525,32,1.996000e-03,1.6228,1.6854,0.103
526,32,1.995964e-03,1.6535,1.6838,0.096
